,brand,price,processor,CPU,Ram,ROM,GPU,display_size,OS,warranty
424,2,63999,83.0,19,8,512,14.0,15.6,0,1
425,12,41990,81.0,19,8,512,50.0,14.0,0,1
426,5,49990,29.0,1,8,512,8.0,14.0,0,1
427,5,54990,31.0,1,8,512,8.0,14.0,0,1
428,2,119990,40.0,8,16,512,70.0,16.0,0,1
429,9,85990,40.0,8,16,512,30.0,16.0,0,2
430,9,85590,40.0,8,16,1000,72.0,16.0,0,2
431,2,31990,78.0,28,8,512,12.0,15.6,0,1
432,5,55800,83.0,19,16,512,12.0,14.0,0,1
433,14,72422,,23,16,512,2.0,14.0,0,1
434,1,31500,14.0,17,8,512,8.0,15.6,0,1
435,5,37990,14.0,17,8,512,31.0,14.0,0,1
436,0,63490,,19,8,512,10.0,15.6,0,1
437,2,60990,31.0,1,16,512,3.0,15.6,0,1
438,2,39900,81.0,19,8,512,50.0,15.6,0,1
439,5,33990,27.0,17,8,512,2.0,15.6,0,1
440,0,57580,31.0,1,16,512,3.0,15.6,0,1
441,5,339990,104.0,24,32,2000,73.0,16.0,0,1
442,0,34999,14.0,17,8,512,8.0,15.6,0,1
443,0,54990,31.0,1,8,512,7.0,15.6,0,1
444,0,35999,14.0,17,8,1000,2.0,15.6,0,1
445,0,41710,14.0,17,8,1000,8.0,15.6,0,1
446,4,50090,89.0,19,8,512,12.0,16.0,0,1
447,0,45890,,19,16,512,12.0,14.0,0,1
448,0,29990,69.0,16,8,512,12.0,15.6,0,1
449,0,37672,14.0,17,8,512,2.0,15.6,0,1
450,4,83523,100.0,24,16,512,10.0,15.6,0,1
451,1,52128,32.0,6,8,512,13.0,15.6,0,1
452,1,39990,31.0,1,8,512,,15.6,0,1
453,4,54790,93.0,24,8,512,27.0,15.6,0,1
454,1,147090,40.0,8,32,2000,22.0,16.0,0,1
455,0,67990,31.0,1,16,512,3.0,14.0,0,1
456,9,49290,21.0,19,8,512,74.0,15.6,4,2
457,5,51990,5.0,28,8,512,14.0,15.6,11,1
458,0,83149,36.0,1,16,1000,3.0,14.0,0,1
459,0,54999,31.0,1,8,512,7.0,15.6,0,1
460,6,74990,36.0,1,16,512,3.0,15.6,0,1
461,2,66990,92.0,24,16,512,10.0,15.6,0,1
462,0,61990,32.0,6,8,512,7.0,15.6,0,1
463,0,51573,,19,8,512,12.0,14.0,0,1
464,1,31500,14.0,17,8,256,8.0,15.6,7,1
465,1,29000,14.0,17,4,256,8.0,15.6,0,1
466,0,32990,76.0,28,8,512,17.0,15.6,7,1
467,2,36990,81.0,19,8,512,50.0,15.6,0,1
468,3,239900,141.0,3,16,1000,75.0,14.2,1,1
469,3,309490,140.0,0,32,1000,76.0,16.2,1,1
470,4,49990,20.0,28,8,512,3.0,15.6,5,1
471,4,40250,14.0,17,8,1000,35.0,15.6,4,1
472,5,59990,11.0,24,16,512,14.0,15.6,4,1
473,4,57990,20.0,28,8,1000,77.0,15.6,4,1
474,17,36999,,17,8,256,2.0,14.0,4,1
475,14,53990,,19,16,512,12.0,15.6,5,1
476,14,48990,,19,16,512,12.0,14.0,5,1
477,23,39990,20.0,28,8,512,3.0,14.0,4,2
478,0,37290,70.0,17,8,1000,78.0,15.6,4,1
479,24,60390,72.0,28,8,128,79.0,15.0,4,1
480,20,54999,,28,8,256,80.0,15.6,4,1
481,0,90464,129.0,28,8,512,81.0,14.0,4,3
482,1,54490,128.0,28,8,512,82.0,14.0,4,1
483,3,199900,146.0,26,8,512,83.0,13.3,12,1
484,4,89999,20.0,28,8,256,2.0,13.3,5,1
485,4,260000,39.0,1,32,1000,3.0,14.1,7,1
486,1,45999,22.0,28,16,1000,3.0,15.6,0,1
487,2,106990,37.0,6,16,1000,2.0,16.0,0,3
488,2,221990,53.0,1,16,1000,3.0,14.0,0,1
