,brand,price,CPU,Ram,ROM,display_size,OS,warranty,GPU_encoded,Processor_encoded
437,2,60990,1,16,512,15.6,0,1,2,35
438,2,39900,19,8,512,15.6,0,1,51,50
439,5,33990,17,8,512,15.6,0,1,1,92
440,0,57580,1,16,512,15.6,0,1,2,35
441,5,339990,24,32,2000,16.0,0,1,80,110
442,0,34999,17,8,512,15.6,0,1,7,2
443,0,54990,1,8,512,15.6,0,1,6,35
444,0,35999,17,8,1000,15.6,0,1,1,2
445,0,41710,17,8,1000,15.6,0,1,7,2
446,4,50090,19,8,512,16.0,0,1,11,32
447,0,45890,19,16,512,14.0,0,1,11,78
448,0,29990,16,8,512,15.6,0,1,11,101
449,0,37672,17,8,512,15.6,0,1,1,2
450,4,83523,24,16,512,15.6,0,1,9,48
451,1,52128,6,8,512,15.6,0,1,12,3
452,1,39990,1,8,512,15.6,0,1,81,35
453,4,54790,24,8,512,15.6,0,1,27,111
454,1,147090,8,32,2000,16.0,0,1,21,31
455,0,67990,1,16,512,14.0,0,1,2,35
456,9,49290,19,8,512,15.6,4,2,82,98
457,5,51990,28,8,512,15.6,11,1,13,112
458,0,83149,1,16,1000,14.0,0,1,2,7
459,0,54999,1,8,512,15.6,0,1,6,35
460,6,74990,1,16,512,15.6,0,1,2,7
461,2,66990,24,16,512,15.6,0,1,9,17
462,0,61990,6,8,512,15.6,0,1,6,3
463,0,51573,19,8,512,14.0,0,1,11,113
464,1,31500,17,8,256,15.6,7,1,7,2
465,1,29000,17,4,256,15.6,0,1,7,2
466,0,32990,28,8,512,15.6,7,1,16,114
467,2,36990,19,8,512,15.6,0,1,51,50
468,3,239900,3,16,1000,14.2,1,1,83,115
469,3,309490,0,32,1000,16.2,1,1,84,116
470,4,49990,28,8,512,15.6,5,1,2,29
471,4,40250,17,8,1000,15.6,4,1,35,2
472,5,59990,24,16,512,15.6,4,1,13,117
473,4,57990,28,8,1000,15.6,4,1,85,29
474,17,36999,17,8,256,14.0,4,1,1,100
475,14,53990,19,16,512,15.6,5,1,11,64
476,14,48990,19,16,512,14.0,5,1,11,78
477,23,39990,28,8,512,14.0,4,2,2,29
478,0,37290,17,8,1000,15.6,4,1,86,77
479,24,60390,28,8,128,15.0,4,1,87,118
480,20,54999,28,8,256,15.6,4,1,88,119
481,0,90464,28,8,512,14.0,4,3,89,120
482,1,54490,28,8,512,14.0,4,1,90,121
483,3,199900,26,8,512,13.3,12,1,91,122
484,4,89999,28,8,256,13.3,5,1,1,29
485,4,260000,1,32,1000,14.1,7,1,2,123
486,1,45999,28,16,1000,15.6,0,1,2,33
487,2,106990,6,16,1000,16.0,0,3,1,124
488,2,221990,1,16,1000,14.0,0,1,2,21
489,1,146990,8,32,2000,16.0,0,1,21,31
490,5,52990,28,8,512,15.6,11,1,13,112
491,1,59990,6,8,512,14.0,0,1,3,3
492,4,52990,28,8,512,15.6,11,1,8,29
493,6,64490,1,16,512,15.6,0,1,3,35
494,6,78990,6,8,512,15.6,0,1,92,3
495,6,59900,4,8,512,15.6,0,1,2,26
496,0,55990,19,16,512,14.0,0,1,16,125
497,2,19990,16,4,256,15.6,3,1,7,126
498,17,47990,28,16,512,14.0,0,1,2,69
499,6,112990,24,16,512,13.3,0,1,2,127
500,6,101990,24,16,512,13.3,0,1,2,127
501,6,102990,6,16,512,13.3,0,1,2,3
502,5,33499,27,4,128,13.3,0,1,1,128
503,0,33999,28,8,512,15.6,7,1,16,114
504,3,215994,0,16,512,16.2,1,1,83,115
505,3,215994,3,16,1000,14.2,1,1,83,115
506,5,26500,17,4,1000,15.6,4,1,1,129
507,14,79990,28,16,512,15.6,5,1,2,51
508,4,68000,28,16,512,15.6,4,1,2,14
509,2,47925,28,8,512,15.6,4,1,3,29
